address,amount
0x91031dcfdea024b4d51e775486111d2b2a715871,1840
0xd7029bdea1c17493893aafe29aad69ef892b8ff2,4960
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,480
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2305
0x769e89e63eeeb94c4e80c3609cc4bbcecf30735e,369
0x416e0c10a3760a35f1891455f30e415e96fbd779,200
0x0916c04994849c676ab2667ce5bbdf7ccc94310a,100
0x2920a3192613d8c42f21b64873dc0ddfcbf018d4,3600
0x17a059b6b0c8af433032d554b0392995155452e6,300
0x849151d7d0bf1f34b70d5cad5149d28cc2308bf1,2357
0x7fdca0a469ea8b50b92322afc0215b67d56a5e9a,400
0xe7b25a8ab435c4f8a0d056edda7ba450a9999285,296
0x18b7511938fbe2ee08adf3d4a24edb00a5c9b783,1900
0x4303ddc9943d862f2b205af468a4a786c5137e76,200
0x6b48ad78a26604b9e158a07ec4abb2981842e168,1000
0xb4e60388bb1fbabdf77dff2337ad2fcb596d500a,500
0x2cb5ae51861a4a6e8568b527cafc3891317ac94d,700
0x605e05bf092ebd18e06d1b0f699df5b9dd85d452,500
0x5a927ac639636e534b678e81768ca19e2c6280b7,623
0x5b93ff82faaf241c15997ea3975419dddd8362c5,2083
0x0aa34eb615ab330b64060ff9fa994e72a7a95b59,2684
0x997b0cced542b6d2a7e0bae5649afd9d0861cb4e,200
0x673a827c0df98274fa94ef194f7f9d1a8a00bbb9,4334
0x8b0573d1c80362db589eda39c2e30f5190d7eb51,200
0x0ed1f91769d6add12f3aca1229f96eea198ac0ed,300
0x223f2db258234f7fa164a9e4c0929318feb3b550,10
0x179a862703a4adfb29896552df9e307980d19285,600
0x429140cae777b14f3a788566073de9845a97535e,200
0x869ec00fa1dc112917c781942cc01c68521c415e,300
0x70d04384b5c3a466ec4d8cfb8213efc31c6a9d15,2111
0x9eab9d856a3a667dc4cd10001d59c679c64756e7,500
0x950615b7fdffb113ba53801ea6129ae7e372558e,200
0xbeec75a2025b34767cb60f0bea5c4c8be489ba6d,700
0x126d2cebd1ff6da07ccbc905fd6e0ee97ca265ad,500
0xa35156ca4294c13fe256b10091f3d6595e3bf7d7,645
0x8a95d5f9ac0eebd5880199ea8fcd0fae845bbbf2,736
0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f,3858
0x538527f3602acad78596f17b422fcf5613af1409,200
0x4b21518bf535c66cc14ae7e3c6aec144936e3222,200
0x333d0ebc54707c0a9d92cac749b3094c28a0e111,2574
0x11c47bb644cbaa54c7bc651d46b9b399da832171,400
0x5d25e3ebb10f4debf1d7b76eb94302d2d74c7035,1602
0xe978bdbc3347feb6ed10c9845bbdc298604f80ca,9422
0xf6b640ed09927c90185d3a7af4b186317cc8df3e,716
0x96a77560146501eaeb5e6d5b7d8dd1ed23defa23,1250
